feature,decision,reason
age,Included,Basic demographic variable; may contribute to legitimate variation in laboratory/operational patterns.
visit_number,Included,Captures visit context and allows unusual combinations involving study timepoint.
data_entry_delay,Included,Direct data-management timeliness signal.
ALT,Included,Clinical laboratory measurement.
AST,Included,Clinical laboratory measurement.
hemoglobin,Included,Clinical laboratory measurement.
creatinine,Included,Clinical laboratory measurement.
query_count,Included,Operational data-quality signal.
protocol_deviation,Included,Study conduct/data-quality context.
*_missing,Included,Makes missingness an explicit observable data-quality characteristic.
ALT_AST_ratio,Included,Captures a relationship between two labs that individual thresholds may miss.
site_id,Excluded from model,Grouping variable; retained only for post-hoc site-level analysis.
patient_id,Excluded from model,Identifier; no predictive meaning.
record_id,Excluded from model,Identifier; no predictive meaning.
ground_truth_*,Excluded from model,Evaluation labels; using them would cause target leakage.
raw dates,Excluded from model,Used to derive data_entry_delay; raw calendar encodings are unnecessary here.
global/group z-scores,Excluded from initial model,Avoids dependence on dataset-wide/group distribution estimates and keeps the pilot simpler.
